City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sao filipe,12,CV,1513029734,92,14.9,-24.5,76.98,14.99
1,hasaki,20,JP,1513027800,80,35.73,140.83,35.6,3.36
2,ribeira grande,40,PT,1513026000,77,38.52,-28.7,62.6,2.24
3,klaksvik,68,FO,1513027200,93,62.23,-6.59,37.4,4.7
4,iqaluit,90,CA,1513026000,77,63.75,-68.51,3.2,5.82
5,huambo,76,AO,1513029737,100,-12.78,15.74,62.76,2.01
6,harnosand,75,SE,1513027200,92,62.63,17.94,30.2,3.36
7,busselton,0,AU,1513029738,100,-33.65,115.33,65.82,18.12
8,adrar,0,DZ,1513026000,35,27.87,-0.29,57.2,13.87
9,wawa,64,NG,1513029739,46,9.9,4.42,74.55,5.93
10,aklavik,75,CA,1513027920,85,68.22,-135.01,12.2,4.7
11,butaritari,64,KI,1513029740,100,3.07,172.79,79.68,7.38
12,beringovskiy,12,RU,1513029741,100,63.05,179.32,5.83,27.74
13,kodiak,90,US,1513027920,87,57.79,-152.41,42.8,20.8
14,hokitika,92,NZ,1513029742,100,-42.72,170.97,59.07,11.07
15,punta arenas,75,CL,1513026000,81,-53.15,-70.92,48.2,23.04
16,xinglongshan,0,CN,1513026000,63,43.96,125.47,-7.61,6.71
17,puerto ayora,75,EC,1513026000,61,-0.74,-90.35,78.8,18.34
18,georgetown,20,GY,1513026000,74,6.8,-58.16,82.4,11.41
19,kuito,48,AO,1513029744,97,-12.38,16.93,62.8,4.7
20,ushuaia,75,AR,1513026000,75,-54.8,-68.3,46.4,28.86
21,rikitea,100,PF,1513029746,100,-23.12,-134.97,71.85,26.4
22,pangody,80,RU,1513029746,82,65.85,74.49,3.85,10.18
23,qasigiannguit,48,GL,1513029000,84,68.82,-51.19,32.0,17.22
24,cape town,0,ZA,1513026000,67,-33.93,18.42,62.6,20.8
25,guerrero negro,0,MX,1513029748,37,27.98,-114.06,74.68,3.69
26,madison,90,US,1513026900,94,43.07,-89.4,33.8,9.17
27,mpika,92,ZM,1513029749,97,-11.83,31.45,62.94,3.02
28,puri,0,IN,1513026000,94,19.8,85.85,71.6,3.36
29,ponta do sol,40,PT,1513027800,59,32.67,-17.1,60.8,18.34
30,mayo,5,US,1513028820,52,38.89,-76.51,48.2,3.36
31,khatanga,20,RU,1513029751,53,71.97,102.5,-31.21,5.14
32,nanortalik,92,GL,1513029751,97,60.14,-45.24,31.8,11.86
33,provideniya,40,RU,1513027800,52,64.38,-173.3,15.8,20.13
34,pacific grove,1,US,1513028100,28,36.62,-121.92,73.4,2.91
35,san simon de la laguna,40,MX,1513025160,5,19.3,-100.08,68.0,5.82
36,padilla,75,CO,1513026000,69,3.22,-76.31,77.0,2.24
37,jamestown,90,US,1513029360,92,42.1,-79.24,26.6,4.7
38,albany,75,US,1513029300,58,42.65,-73.76,30.2,9.17
39,bandarbeyla,24,SO,1513029756,100,9.49,50.81,76.8,24.27
40,tasiilaq,80,GL,1513029000,80,65.61,-37.64,30.2,59.61
41,trelew,12,AR,1513029659,25,-43.25,-65.31,92.86,20.24
42,edinburg,1,US,1513026900,28,26.3,-98.16,71.6,5.82
43,kyaikkami,76,MM,1513029758,99,16.08,97.57,73.47,2.68
44,thompson,20,CA,1513026000,70,55.74,-97.86,-2.21,10.29
45,mar del plata,0,AR,1513026000,67,-38.0,-57.56,62.6,11.41
46,bluff,12,NZ,1513029759,100,-46.6,168.33,55.2,19.8
47,dryden,75,CA,1513027740,78,49.78,-92.75,8.6,8.05
48,siguiri,0,GN,1513029761,49,11.42,-9.17,68.97,4.7
49,yellowknife,90,CA,1513026000,92,62.46,-114.35,10.4,11.41
50,hobart,20,AU,1513026000,59,-42.88,147.33,62.6,10.29
51,kapaa,75,US,1513025760,78,22.08,-159.32,77.0,3.36
52,moron,0,AR,1513026000,60,-34.65,-58.62,71.6,13.87
53,ixtapa,75,MX,1513025220,29,20.7,-105.2,87.8,2.01
54,bethel,1,US,1513029360,51,41.37,-73.41,39.2,3.36
55,charters towers,0,AU,1513029764,78,-20.1,146.27,71.26,5.82
56,touros,44,BR,1513029764,80,-5.2,-35.46,80.85,9.73
57,saint-philippe,0,RE,1513027800,65,-21.36,55.77,77.0,6.93
58,bayan,24,CN,1513029765,77,46.08,127.4,-3.8,14.2
59,husavik,0,IS,1513026000,85,66.04,-17.34,10.4,6.93
60,qaanaaq,24,GL,1513029766,86,77.48,-69.36,11.23,6.49
61,ust-maya,48,RU,1513029767,0,60.42,134.53,-45.61,3.91
62,cabo san lucas,75,MX,1513024980,30,22.89,-109.91,84.2,11.41
63,padang,92,ID,1513029768,100,-0.95,100.35,75.09,4.25
64,atuona,100,PF,1513029769,100,-9.8,-139.03,76.8,13.76
65,kaniv,88,UA,1513029769,95,49.75,31.46,37.56,12.75
66,port alfred,76,ZA,1513029770,91,-33.59,26.89,64.33,6.15
67,vaini,20,TO,1513026000,69,-21.2,-175.2,78.8,5.93
68,mopipi,92,BW,1513029771,71,-21.18,24.88,70.95,9.06
69,georgiyevskoye,88,RU,1513029772,86,58.73,45.02,25.5,7.94
70,catia la mar,20,VE,1513026000,62,10.6,-67.03,84.2,3.36
71,clyde river,90,CA,1513026000,84,70.47,-68.59,6.8,26.4
72,san jose,75,US,1513028100,28,37.34,-121.89,71.6,3.24
73,salinas,1,US,1513028100,28,36.68,-121.66,73.4,2.91
74,east london,92,ZA,1513029775,100,-33.02,27.91,66.54,10.18
75,palmer,75,US,1513025760,55,42.16,-72.33,39.2,4.7
76,longyearbyen,75,SJ,1513025400,100,78.22,15.64,32.0,6.93
77,thinadhoo,88,MV,1513029776,100,0.53,72.93,80.08,5.14
78,maridi,12,SS,1513029777,83,4.92,29.47,66.58,2.68
79,torbay,40,CA,1513026000,99,47.67,-52.73,32.0,6.93
